ms_played,frequency,release_date,acousticness,danceability,energy,key,instrumentalness,liveness,loudness,mode,speechiness,valence,tempo,time_signature,popularity
253346,37.0,2016,0.308,0.529,0.894,2.0,5.38e-06,0.254,-3.599,1.0,0.0412,0.543,108.024,4.0,67.0
224910,8.0,2019,0.0608,0.876,0.662,2.0,0.0,0.127,-6.482,0.0,0.426,0.844,75.445,4.0,72.0
268400,61.0,2018,0.0859,0.805,0.833,1.0,0.0,0.0578,-6.73,0.0,0.12,0.703,109.076,4.0,60.0
287360,5.0,2015,0.359,0.509,0.787,7.0,2.76e-05,0.26,-6.754,1.0,0.265,0.507,114.449,4.0,68.0
149079,14.0,2014,0.357,0.684,0.585,2.0,1.23e-06,0.728,-7.601,1.0,0.0712,0.335,148.507,4.0,54.0
192315,169.0,2020,0.09,0.71,0.618,11.0,3.93e-05,0.141,-8.865,0.0,0.0598,0.797,94.995,4.0,48.0
82860,22.0,2021,0.108,0.331,0.438,3.0,0.000129,0.144,-6.671,1.0,0.0338,0.0641,144.185,4.0,59.0
203040,37.0,2021,0.188,0.54,0.82,0.0,0.0,0.0724,-3.848,1.0,0.0437,0.465,123.991,4.0,65.0
224942,37.0,2021,0.188,0.54,0.82,0.0,0.0,0.0724,-3.848,1.0,0.0437,0.465,123.991,4.0,65.0
355893,10.0,2007,0.123,0.552,0.791,7.0,1.42e-05,0.162,-8.356,1.0,0.0303,0.698,91.2,4.0,52.0
230142,22.0,2021,0.108,0.331,0.438,3.0,0.000129,0.144,-6.671,1.0,0.0338,0.0641,144.185,4.0,59.0
137777,4.0,2020,0.0311,0.514,0.659,7.0,0.0,0.131,-5.509,1.0,0.0379,0.619,116.996,3.0,36.0
277591,50.0,2021,0.167,0.661,0.819,11.0,0.0,0.0647,-6.269,0.0,0.0519,0.724,135.937,4.0,72.0
134208,64.0,2019,0.21,0.448,0.838,4.0,0.000131,0.131,-5.257,0.0,0.0557,0.254,139.863,4.0,83.0
74950,64.0,2019,0.21,0.448,0.838,4.0,0.000131,0.131,-5.257,0.0,0.0557,0.254,139.863,4.0,83.0
238826,22.0,2017,0.0076,0.703,0.628,5.0,0.0,0.471,-6.349,0.0,0.0284,0.425,103.983,4.0,48.0
242096,82.0,2021,0.182,0.586,0.616,5.0,0.0,0.0927,-7.964,1.0,0.0324,0.719,148.088,4.0,68.0
141805,27.0,2021,0.0383,0.591,0.764,1.0,0.0,0.103,-5.484,1.0,0.0483,0.478,169.928,4.0,89.0
207927,276.0,2021,0.192,0.747,0.822,1.0,0.0,0.288,-5.15,1.0,0.0893,0.862,115.937,4.0,61.0
207454,20.0,2018,0.301,0.702,0.659,4.0,0.00201,0.218,-6.766,0.0,0.13,0.843,79.64,4.0,79.0
192315,169.0,2020,0.09,0.71,0.618,11.0,3.93e-05,0.141,-8.865,0.0,0.0598,0.797,94.995,4.0,48.0
223182,37.0,2021,0.188,0.54,0.82,0.0,0.0,0.0724,-3.848,1.0,0.0437,0.465,123.991,4.0,65.0
330020,22.0,2015,0.547,0.706,0.483,1.0,1.94e-06,0.136,-7.929,1.0,0.0393,0.663,92.002,4.0,61.0
143530,28.0,2021,0.627,0.715,0.374,8.0,0.0,0.11,-6.665,1.0,0.0399,0.633,89.982,4.0,59.0
76833,8.0,2020,0.454,0.746,0.611,0.0,0.000922,0.133,-7.034,0.0,0.101,0.411,149.967,4.0,68.0
195873,60.0,2010,0.0135,0.794,0.766,9.0,0.0,0.0785,-3.894,0.0,0.0377,0.55,127.007,4.0,82.0
207927,276.0,2021,0.192,0.747,0.822,1.0,0.0,0.288,-5.15,1.0,0.0893,0.862,115.937,4.0,61.0
216045,32.0,2020,0.00964,0.51,0.748,2.0,0.00163,0.161,-5.955,1.0,0.0776,0.327,164.982,3.0,40.0
203122,71.0,2021,0.037,0.708,0.598,5.0,0.0,0.17,-8.365,1.0,0.0291,0.698,112.027,4.0,73.0
192315,169.0,2020,0.09,0.71,0.618,11.0,3.93e-05,0.141,-8.865,0.0,0.0598,0.797,94.995,4.0,48.0
114033,37.0,2021,0.188,0.54,0.82,0.0,0.0,0.0724,-3.848,1.0,0.0437,0.465,123.991,4.0,65.0
109414,37.0,2021,0.188,0.54,0.82,0.0,0.0,0.0724,-3.848,1.0,0.0437,0.465,123.991,4.0,65.0
243535,88.0,2018,0.0319,0.556,0.671,11.0,0.000377,0.111,-6.366,0.0,0.0647,0.252,105.057,4.0,51.0
238805,100.0,2020,0.44,0.761,0.525,11.0,6.7e-06,0.0921,-6.9,1.0,0.0944,0.531,80.87,4.0,84.0
219885,22.0,2018,0.00431,0.773,0.75,0.0,0.000362,0.437,-3.889,0.0,0.0502,0.77,120.988,4.0,49.0
238805,100.0,2020,0.44,0.761,0.525,11.0,6.7e-06,0.0921,-6.9,1.0,0.0944,0.531,80.87,4.0,84.0
231041,16.0,2021,0.0451,0.807,0.893,11.0,2.79e-05,0.366,-3.745,0.0,0.0347,0.537,126.011,4.0,89.0
258004,65.0,2020,0.00173,0.659,0.667,11.0,2.85e-05,0.1,-4.668,0.0,0.0339,0.468,115.982,4.0,76.0
253346,37.0,2016,0.308,0.529,0.894,2.0,5.38e-06,0.254,-3.599,1.0,0.0412,0.543,108.024,4.0,67.0
150819,50.0,2020,0.00248,0.714,0.798,5.0,0.000678,0.103,-4.239,0.0,0.0612,0.659,119.017,4.0,63.0
245026,141.0,2021,0.769,0.581,0.619,10.0,0.000106,0.117,-6.524,1.0,0.0282,0.645,137.915,4.0,77.0
201363,37.0,2021,0.188,0.54,0.82,0.0,0.0,0.0724,-3.848,1.0,0.0437,0.465,123.991,4.0,65.0
238805,100.0,2020,0.44,0.761,0.525,11.0,6.7e-06,0.0921,-6.9,1.0,0.0944,0.531,80.87,4.0,84.0
203122,71.0,2021,0.037,0.708,0.598,5.0,0.0,0.17,-8.365,1.0,0.0291,0.698,112.027,4.0,73.0
254466,21.0,2021,0.44,0.53,0.712,0.0,0.0233,0.0931,-8.135,1.0,0.0461,0.577,167.964,4.0,68.0
192315,169.0,2020,0.09,0.71,0.618,11.0,3.93e-05,0.141,-8.865,0.0,0.0598,0.797,94.995,4.0,48.0
331826,22.0,2015,0.547,0.706,0.483,1.0,1.94e-06,0.136,-7.929,1.0,0.0393,0.663,92.002,4.0,61.0
177000,13.0,2017,0.000282,0.908,0.621,1.0,5.39e-05,0.0958,-6.638,0.0,0.102,0.421,150.011,4.0,83.0
169726,11.0,2016,0.271,0.841,0.898,8.0,0.0151,0.304,-7.135,1.0,0.104,0.931,98.401,4.0,64.0
87260,41.0,2020,0.66,0.546,0.73,0.0,0.179,0.0972,-7.704,1.0,0.0417,0.573,157.895,4.0,66.0
141805,27.0,2021,0.0383,0.591,0.764,1.0,0.0,0.103,-5.484,1.0,0.0483,0.478,169.928,4.0,89.0
287733,3.0,2016,0.173,0.685,0.545,7.0,1.44e-05,0.237,-6.189,1.0,0.061,0.506,94.061,4.0,60.0
160760,14.0,2016,0.0459,0.732,0.789,5.0,3.11e-05,0.123,-3.717,0.0,0.0476,0.607,107.978,4.0,56.0
137777,4.0,2020,0.0311,0.514,0.659,7.0,0.0,0.131,-5.509,1.0,0.0379,0.619,116.996,3.0,36.0
214572,22.0,2021,0.108,0.331,0.438,3.0,0.000129,0.144,-6.671,1.0,0.0338,0.0641,144.185,4.0,59.0
201786,11.0,2021,0.0837,0.668,0.856,1.0,0.0446,0.096,-6.386,0.0,0.0453,0.737,79.008,4.0,64.0
207853,27.0,2021,0.281,0.788,0.859,2.0,0.0,0.0424,-2.724,1.0,0.0856,0.822,141.02,4.0,78.0
77390,3.0,2021,0.0297,0.776,0.808,11.0,0.000127,0.103,-4.501,1.0,0.117,0.494,123.988,4.0,82.0
